,City Name,City ID,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
119,Sao Gabriel da Cachoeira,2016422,-35.1,173.78,289.26,73,7,3.08,NZ,1570163410
120,Sao Gabriel da Cachoeira,2061,-20.01,57.66,295.37,100,75,3.6,MU,1570163411
121,Sao Gabriel da Cachoeira,4687,40.16,-83.08,291.48,68,1,4.1,US,1570163412
122,Sao Gabriel da Cachoeira,984,54.52,-128.61,282.15,93,90,5.1,CA,1570163414
123,Sao Gabriel da Cachoeira,4763,36.2,-115.11,299.15,11,1,4.1,US,1570163355
124,Sao Gabriel da Cachoeira,810,49.72,-86.95,273.15,96,75,2.1,CA,1570163416
125,Sao Gabriel da Cachoeira,6374,34.92,32.53,293.15,68,20,4.1,CY,1570163419
126,Sao Gabriel da Cachoeira,9273,9.54,99.94,305.15,66,20,3.6,TH,1570163421
127,Sao Gabriel da Cachoeira,942,69.44,-133.03,274.15,100,90,4.1,CA,1570163423
128,Sao Gabriel da Cachoeira,8512,-41.87,-73.83,279.15,81,90,2.6,CL,1570163424
129,Sao Gabriel da Cachoeira,8514,-29.95,-71.34,284.15,76,0,1.5,CL,1570163425
130,Sao Gabriel da Cachoeira,8990,37.5,61.97,288.15,19,0,2.94,TM,1570163427
131,Sao Gabriel da Cachoeira,2444,20.93,-17.03,296.15,69,5,7.7,MR,1570163430
132,Sao Gabriel da Cachoeira,1672,70.03,20.97,272.15,100,75,2.1,NO,1570163432
133,Sao Gabriel da Cachoeira,8791,12.52,-70.03,302.15,74,40,7.2,AW,1570163173
134,Sao Gabriel da Cachoeira,6892,37.14,-8.45,292.04,82,0,2.1,PT,1570163435
135,Sao Gabriel da Cachoeira,4624,39.24,-77.28,296.48,100,90,1.64,US,1570163438
136,Sao Gabriel da Cachoeira,8691,-13.71,-76.2,290.15,82,35,2.6,PE,1570163440
137,Sao Gabriel da Cachoeira,9483,-23.7,133.88,308.15,8,0,8.2,AU,1570163441
138,Sao Gabriel da Cachoeira,8772,13.22,-59.52,301.15,83,40,3.1,BB,1570163443
139,Sao Gabriel da Cachoeira,7165,22.89,-109.91,300.37,83,40,3.56,MX,1570163284
140,Sao Gabriel da Cachoeira,9585,-20.31,118.58,313.15,11,0,5.1,AU,1570163224
141,Sao Gabriel da Cachoeira,7241,20.37,-76.43,297.15,94,75,1.5,CU,1570163447
142,Sao Gabriel da Cachoeira,9495,-20.73,139.49,306.15,15,5,6.2,AU,1570163449
143,Sao Gabriel da Cachoeira,1007,62.45,-114.38,278.15,80,20,2.1,CA,1570163450
144,Sao Gabriel da Cachoeira,949,55.1,-105.3,280.15,70,20,4.1,CA,1570163451
145,Sao Gabriel da Cachoeira,8021,33.37,134.14,303.15,40,20,5.7,JP,1570163453
146,Sao Gabriel da Cachoeira,2482,18.08,-15.98,301.15,74,0,6.2,MR,1570163454
147,Sao Gabriel da Cachoeira,8474,-20.67,-40.5,298.15,83,40,2.6,BR,1570163456
148,Sao Gabriel da Cachoeira,9587,-15.77,128.74,309.15,25,40,3.6,AU,1570163457
149,Sao Gabriel da Cachoeira,7306,-19.06,-169.92,297.15,83,98,5.1,NU,1570163459
150,Sao Gabriel da Cachoeira,7709,59.64,-151.54,281.15,70,1,2.1,US,1570163350
151,Sao Gabriel da Cachoeira,2609,-4.84,29.66,293.15,88,20,5.24,TZ,1570163462
152,Sao Gabriel da Cachoeira,8040,34.68,135.8,302.15,58,20,6.2,JP,1570163463
153,Sao Gabriel da Cachoeira,2410,14.69,-16.54,299.15,83,86,1.0,SN,1570163465
154,Sao Gabriel da Cachoeira,7684,64.86,-147.8,278.15,93,90,2.1,US,1570163395
155,Sao Gabriel da Cachoeira,9594,-34.58,150.85,297.04,68,75,5.7,AU,1570163468
156,Sao Gabriel da Cachoeira,2019717,-38.55,-58.74,280.37,75,100,0.89,AR,1570163470
157,Sao Gabriel da Cachoeira,2021131,37.17,-99.65,285.37,83,98,2.24,US,1570163471
158,Sao Gabriel da Cachoeira,2007154,8.0,124.29,302.04,76,51,3.13,PH,1570163473
159,Sao Gabriel da Cachoeira,2012815,54.63,-8.45,285.93,92,100,9.83,IE,1570163474
160,Sao Gabriel da Cachoeira,9613,-32.49,137.76,310.15,13,72,7.7,AU,1570163475
161,Sao Gabriel da Cachoeira,47,60.72,-46.03,283.15,31,72,7.2,GL,1570163477
162,Sao Gabriel da Cachoeira,81,65.61,-37.64,279.15,75,100,10.3,GL,1570163478
163,Sao Gabriel da Cachoeira,1668,68.56,14.91,277.15,60,0,2.1,NO,1570163480
164,Sao Gabriel da Cachoeira,4332,35.88,-80.08,297.59,78,1,2.04,US,1570163482
165,Sao Gabriel da Cachoeira,5924,39.95,-94.76,283.71,93,1,3.1,US,1570163484
166,Sao Gabriel da Cachoeira,8046,37.52,140.86,296.48,100,75,6.2,JP,1570163485
167,Sao Gabriel da Cachoeira,6374,34.81,32.42,293.15,68,20,4.1,CY,1570163487
168,Sao Gabriel da Cachoeira,6666,46.8,19.35,281.48,93,0,2.1,HU,1570163488
169,Sao Gabriel da Cachoeira,6627,41.19,24.1,293.71,88,40,3.1,GR,1570163489
170,Sao Gabriel da Cachoeira,1398,51.54,-2.41,287.15,87,80,6.2,GB,1570163491
171,Sao Gabriel da Cachoeira,4360,39.62,-77.74,295.93,82,90,2.1,US,1570163492
172,Sao Gabriel da Cachoeira,6901,38.7,-9.42,293.15,93,75,1.5,PT,1570163494
173,Sao Gabriel da Cachoeira,2030260,-40.81,-62.99,286.48,60,100,2.24,AR,1570163495
174,Sao Gabriel da Cachoeira,19218,50.56,-96.99,279.82,80,0,2.43,CA,1570163497
175,Sao Gabriel da Cachoeira,6845,31.8,34.94,294.26,77,0,1.5,IL,1570163499
176,Sao Gabriel da Cachoeira,950,48.43,-77.63,275.15,100,90,2.6,CA,1570163500
177,Sao Gabriel da Cachoeira,876,45.62,-61.36,282.04,75,75,2.1,CA,1570163502
178,Sao Gabriel da Cachoeira,8480,-22.46,-68.93,282.59,48,0,4.1,CL,1570163503
179,Sao Gabriel da Cachoeira,8452,-5.2,-35.46,298.15,78,40,4.1,BR,1570163505
180,Sao Gabriel da Cachoeira,2000484,53.76,16.1,282.04,95,54,0.57,PL,1570163507
181,Sao Gabriel da Cachoeira,2571,1.75,40.07,299.15,74,75,4.6,KE,1570163508
182,Sao Gabriel da Cachoeira,7879,20.89,-156.47,300.15,74,40,6.2,US,1570163510
183,Sao Gabriel da Cachoeira,907,52.98,-122.49,279.15,93,90,1.84,CA,1570163511
184,Sao Gabriel da Cachoeira,796,68.22,-135.01,276.15,100,90,1.0,CA,1570163513
185,Sao Gabriel da Cachoeira,8138,26.35,127.87,304.15,62,1,4.6,JP,1570163514
186,Sao Gabriel da Cachoeira,7590,33.53,71.06,296.15,64,40,2.1,PK,1570163515
187,Sao Gabriel da Cachoeira,9671,26.58,106.71,300.15,61,75,5.0,CN,1570163517
188,Sao Gabriel da Cachoeira,8293,-51.62,-69.22,280.15,56,0,4.1,AR,1570163518
189,Sao Gabriel da Cachoeira,2008959,-46.13,167.69,288.71,56,100,6.71,NZ,1570163521
190,Sao Gabriel da Cachoeira,8452,-5.81,-35.21,300.15,78,40,4.1,BR,1570163516
191,Sao Gabriel da Cachoeira,8942,53.6,91.39,278.15,60,0,1.0,RU,1570163523
192,Sao Gabriel da Cachoeira,5052,29.94,-90.04,301.15,100,1,1.16,US,1570163525
193,Sao Gabriel da Cachoeira,7827,61.58,-149.44,281.15,81,20,1.57,US,1570163526
194,Sao Gabriel da Cachoeira,7076,19.55,-71.08,300.37,100,40,0.55,DO,1570163528
195,Sao Gabriel da Cachoeira,7877,21.44,-157.84,301.48,69,20,6.7,US,1570162962
196,Sao Gabriel da Cachoeira,2012073,31.42,34.59,294.26,8,0,1.11,IL,1570163532
197,Sao Gabriel da Cachoeira,2012176,60.93,10.7,270.37,92,88,2.68,NO,1570163533
198,Sao Gabriel da Cachoeira,2061,-20.41,57.7,295.37,100,75,3.6,MU,1570163534
199,Sao Gabriel da Cachoeira,9207,16.02,80.92,303.15,70,40,1.5,IN,1570163537
200,Sao Gabriel da Cachoeira,9566,-34.93,138.6,305.15,21,0,6.7,AU,1570163279
201,Sao Gabriel da Cachoeira,6792,41.89,12.48,288.15,71,0,3.6,IT,1570163401
202,Sao Gabriel da Cachoeira,6434,42.77,-9.06,291.48,100,75,3.03,ES,1570163541
203,Sao Gabriel da Cachoeira,4241,35.15,-107.85,289.15,59,1,5.1,US,1570163543
204,Sao Gabriel da Cachoeira,4421,30.44,-86.61,301.48,74,20,2.1,US,1570163545
205,Sao Gabriel da Cachoeira,9501,-25.3,152.85,298.15,41,0,5.7,AU,1570163546
206,Sao Gabriel da Cachoeira,9378,3.3,117.63,300.15,88,40,2.6,ID,1570163517
207,Sao Gabriel da Cachoeira,9207,16.18,81.14,303.15,70,40,1.5,IN,1570163549
208,Sao Gabriel da Cachoeira,7184,8.46,-82.28,297.15,100,40,1.0,PA,1570163550
209,Sao Gabriel da Cachoeira,9369,2.29,111.83,299.15,83,75,1.0,MY,1570163552
210,Sao Gabriel da Cachoeira,7851,20.87,-156.68,300.15,78,40,5.7,US,1570163346
211,Sao Gabriel da Cachoeira,6899,37.72,-25.43,294.82,94,75,5.1,PT,1570163554
212,Sao Gabriel da Cachoeira,4980,36.62,-121.92,288.15,62,1,3.1,US,1570163556
213,Sao Gabriel da Cachoeira,3476,30.04,-94.42,300.15,88,75,2.25,US,1570163558
214,Sao Gabriel da Cachoeira,2020681,-32.63,-62.69,283.15,97,100,5.36,AR,1570163559
215,Sao Gabriel da Cachoeira,62766,35.41,116.58,299.82,27,100,1.33,CN,1570163561
216,Sao Gabriel da Cachoeira,7017,40.67,36.56,286.15,93,0,2.6,TR,1570163562
217,Sao Gabriel da Cachoeira,9490,-16.99,145.42,301.48,57,75,9.8,AU,1570163563
218,Sao Gabriel da Cachoeira,9165,28.45,76.82,303.15,78,40,3.1,IN,1570163565
219,Sao Gabriel da Cachoeira,2003493,38.69,-4.11,286.48,64,0,0.63,ES,1570163566
220,Sao Gabriel da Cachoeira,4747,34.64,-120.46,288.15,87,1,2.6,US,1570163567
221,Sao Gabriel da Cachoeira,9284,7.79,99.63,304.15,70,40,1.5,TH,1570163569
222,Sao Gabriel da Cachoeira,9496,-28.98,153.42,304.15,64,0,8.2,AU,1570163571
223,Sao Gabriel da Cachoeira,819,60.82,-115.79,284.15,57,20,3.6,CA,1570163572
224,Sao Gabriel da Cachoeira,75281,-45.87,170.5,288.15,61,54,4.92,NZ,1570163437
225,Sao Gabriel da Cachoeira,1098,27.87,-0.29,294.15,19,92,4.1,DZ,1570163575
226,Sao Gabriel da Cachoeira,2173,-8.83,13.24,296.15,83,75,2.6,AO,1570163528
227,Sao Gabriel da Cachoeira,9594,-35.36,150.48,293.15,68,75,5.7,AU,1570163580
228,Sao Gabriel da Cachoeira,2009101,50.26,-5.05,287.04,100,40,0.89,GB,1570163405
229,Sao Gabriel da Cachoeira,8832,52.04,76.93,280.15,56,0,3.0,KZ,1570163582
230,Sao Gabriel da Cachoeira,5419,28.61,-96.63,299.26,83,1,2.6,US,1570163584
231,Sao Gabriel da Cachoeira,7411,26.33,43.97,301.15,32,0,3.1,SA,1570163586
232,Sao Gabriel da Cachoeira,3218,41.28,-70.1,285.93,93,90,7.2,US,1570163444
233,Sao Gabriel da Cachoeira,877,56.19,-117.61,283.15,92,40,2.1,CA,1570163589
234,Sao Gabriel da Cachoeira,1676,63.83,10.7,276.15,69,0,4.6,NO,1570163591
235,Sao Gabriel da Cachoeira,7741,55.34,-131.65,284.15,93,90,2.6,US,1570163593
236,Sao Gabriel da Cachoeira,9485,-27.58,153.3,303.71,56,0,8.2,AU,1570163594
237,Sao Gabriel da Cachoeira,6895,38.73,-27.07,293.15,82,20,9.1,PT,1570163595
238,Sao Gabriel da Cachoeira,776,70.47,-68.59,273.15,94,90,3.1,CA,1570163597
239,Sao Gabriel da Cachoeira,979,50.1,-91.92,277.15,96,40,1.25,CA,1570163599
240,Sao Gabriel da Cachoeira,8817,46.84,74.98,285.15,18,0,7.0,KZ,1570163601
241,Sao Gabriel da Cachoeira,1438,60.15,-1.15,282.15,81,1,4.1,GB,1570163603
242,Sao Gabriel da Cachoeira,9288,16.87,102.57,307.15,59,40,2.1,TH,1570163604
243,Sao Gabriel da Cachoeira,9596,-32.25,148.6,305.15,11,0,6.7,AU,1570163606
244,Sao Gabriel da Cachoeira,9600,-33.85,151.22,306.48,82,40,11.3,AU,1570163494
245,Sao Gabriel da Cachoeira,9356,1.44,125.19,306.15,55,40,4.1,ID,1570163611
246,Sao Gabriel da Cachoeira,3535,31.71,-98.99,298.15,60,20,4.3,US,1570163612
247,Sao Gabriel da Cachoeira,8499,-36.72,-73.12,280.15,87,0,2.1,CL,1570163614
248,Sao Gabriel da Cachoeira,2497,2.04,45.34,300.15,74,40,4.6,SO,1570163616
